01-15	1559	tdih-01-15-01	Coronation of Elizabeth I	GLORIANA CROWNED: Elizabeth I Crowned Queen of England at Westminster Abbey	On January 15, 1559, Elizabeth I was crowned Queen of England, beginning a 45-year reign that would define an era and establish England as a world power.	16th Century	Elizabeth I
01-16	27	tdih-01-16-01	Octavian Becomes Augustus	EMPEROR RISES: Roman Senate Grants Octavian the Title Augustus	On January 16, 27 BC, the Roman Senate granted Octavian the title Augustus, marking the beginning of the Roman Empire and the end of the Republic.	Ancient World	Augustus
01-17	1893	tdih-01-17-01	Overthrow of Hawaiian Kingdom	PARADISE SEIZED: American Businessmen Overthrow Queen Liliuokalani	On January 17, 1893, a group of American businessmen and sugar planters overthrew Queen Liliuokalani, ending the Hawaiian monarchy.	Victorian Era	Overthrow of the Hawaiian Kingdom
01-18	1778	tdih-01-18-01	Captain Cook Discovers Hawaii	PACIFIC PARADISE: Captain Cook Becomes First European to Reach Hawaiian Islands	On January 18, 1778, Captain James Cook became the first European to reach the Hawaiian Islands, which he named the Sandwich Islands.	18th Century	James Cook
01-19	1809	tdih-01-19-01	Birth of Edgar Allan Poe	MASTER OF DARKNESS BORN: Edgar Allan Poe Born in Boston	On January 19, 1809, Edgar Allan Poe was born in Boston, destined to become the father of detective fiction and master of Gothic horror.	19th Century	Edgar Allan Poe
01-20	1961	tdih-01-20-01	JFK Inaugurated as President	ASK NOT: John F. Kennedy Sworn In as 35th President, Delivers Iconic Inaugural Address	On January 20, 1961, John F. Kennedy was inaugurated as the 35th president, delivering his famous challenge: ask not what your country can do for you.	1960s America	Inauguration of John F. Kennedy
01-21	1793	tdih-01-21-01	Execution of Louis XVI	HEAD OF STATE: King Louis XVI Executed by Guillotine in Paris	On January 21, 1793, King Louis XVI was executed by guillotine in Paris, marking a point of no return for the French Revolution.	18th Century	Execution of Louis XVI
01-22	1901	tdih-01-22-01	Death of Queen Victoria	END OF AN ERA: Queen Victoria Dies After 63 Years on the Throne	On January 22, 1901, Queen Victoria died at age 81, ending the longest reign in British history and closing the Victorian era.	Turn of the Century	Death of Queen Victoria
01-23	1849	tdih-01-23-01	Elizabeth Blackwell Gets Medical Degree	DOCTOR IS A WOMAN: Elizabeth Blackwell Becomes First Woman to Earn Medical Degree in US	On January 23, 1849, Elizabeth Blackwell became the first woman to receive a medical degree in the United States, graduating from Geneva Medical College.	Victorian Era	Elizabeth Blackwell
01-24	1848	tdih-01-24-01	Gold Discovered at Sutter's Mill	GOLD: James Marshall Discovers Gold Nuggets at Sutter's Mill, Triggering the California Gold Rush	On January 24, 1848, James Marshall discovered gold at Sutter's Mill in California, triggering the Gold Rush that would bring 300,000 people west.	19th Century	California Gold Rush
01-25	1924	tdih-01-25-01	First Winter Olympics Open	COLD COMPETITION: First Winter Olympic Games Open in Chamonix, France	On January 25, 1924, the first Winter Olympic Games opened in Chamonix, France, with 258 athletes from 16 nations competing in 16 events.	Roaring Twenties	1924 Winter Olympics
01-26	1788	tdih-01-26-01	First Fleet Arrives at Sydney Cove	AUSTRALIA FOUNDED: British First Fleet Arrives at Sydney Cove	On January 26, 1788, Captain Arthur Phillip led the First Fleet into Sydney Cove, establishing the first European settlement in Australia.	18th Century	Australia Day
01-27	1945	tdih-01-27-01	Liberation of Auschwitz	GATES OF HELL OPENED: Soviet Troops Liberate Auschwitz Death Camp	On January 27, 1945, Soviet forces liberated the Auschwitz concentration camp, revealing the full horror of the Holocaust to the world.	World War II	Auschwitz concentration camp
01-28	1986	tdih-01-28-01	Space Shuttle Challenger Disaster	TRAGEDY IN THE SKY: Space Shuttle Challenger Explodes 73 Seconds After Launch	On January 28, 1986, the Space Shuttle Challenger broke apart 73 seconds after launch, killing all seven crew members as millions watched on television.	Space Age	Space Shuttle Challenger disaster
01-29	1886	tdih-01-29-01	Karl Benz Patents the Automobile	HORSELESS CARRIAGE: Benz Patents the First True Automobile Powered by Internal Combustion	On January 29, 1886, Karl Benz received a patent for the Benz Patent-Motorwagen, the first vehicle designed as an automobile from the ground up.	Industrial Age	Benz Patent-Motorwagen
01-30	1649	tdih-01-30-01	Execution of King Charles I	KING BEHEADED: Charles I Executed Outside Banqueting House in London	On January 30, 1649, King Charles I was beheaded at the Banqueting House in London after being convicted of treason, establishing that no ruler is above the law.	17th Century	Execution of Charles I
01-31	1606	tdih-01-31-01	Execution of Guy Fawkes	GUNPOWDER PLOTTER HANGED: Guy Fawkes Executed for Conspiracy to Blow Up Parliament	On January 31, 1606, Guy Fawkes was executed for his role in the Gunpowder Plot, the failed conspiracy to assassinate King James I.	17th Century	Guy Fawkes
02-01	1790	tdih-02-01-01	US Supreme Court Convenes for First Time	ORDER IN THE COURT: United States Supreme Court Holds Its First Session	On February 1, 1790, the United States Supreme Court convened for the first time at the Royal Exchange Building in New York City.	18th Century	Supreme Court of the United States
02-02	1848	tdih-02-02-01	Treaty of Guadalupe Hidalgo Signed	BORDER DRAWN: Mexico Cedes Half Its Territory to the United States	On February 2, 1848, the Treaty of Guadalupe Hidalgo ended the Mexican-American War, with Mexico ceding California, Nevada, Utah, and more to the US.	19th Century	Treaty of Guadalupe Hidalgo
02-03	1959	tdih-02-03-01	The Day the Music Died	MUSIC DIES: Buddy Holly, Ritchie Valens, and Big Bopper Killed in Plane Crash	On February 3, 1959, rock and roll pioneers Buddy Holly, Ritchie Valens, and The Big Bopper were killed in a plane crash near Clear Lake, Iowa.	Cold War	The Day the Music Died
02-04	1789	tdih-02-04-01	George Washington Elected President	UNANIMOUS: Electoral College Unanimously Elects George Washington as First President	On February 4, 1789, George Washington was unanimously elected as the first President of the United States by the Electoral College.	18th Century	George Washington
02-05	1917	tdih-02-05-01	Immigration Act of 1917 Passed	DOORS CLOSING: Congress Passes Immigration Act Creating Literacy Tests and Asian Barred Zone	On February 5, 1917, Congress passed the Immigration Act over President Wilson's veto, imposing literacy tests and banning immigration from most of Asia.	World War I Era	Immigration Act of 1917
02-06	1952	tdih-02-06-01	Elizabeth II Becomes Queen	LONG LIVE THE QUEEN: Princess Elizabeth Becomes Queen at Age 25 Upon Death of George VI	On February 6, 1952, Princess Elizabeth became Queen Elizabeth II upon the death of her father King George VI, beginning a reign that would last 70 years.	Post-World War II	Elizabeth II
02-07	1812	tdih-02-07-01	Charles Dickens Born	GREAT EXPECTATIONS: Charles Dickens Born in Portsmouth, England	On February 7, 1812, Charles Dickens was born in Portsmouth, destined to become the most celebrated novelist of the Victorian era.	19th Century	Charles Dickens
02-08	1587	tdih-02-08-01	Execution of Mary Queen of Scots	QUEEN BEHEADED: Mary Queen of Scots Executed at Fotheringhay Castle	On February 8, 1587, Mary Queen of Scots was executed at Fotheringhay Castle on orders of her cousin Elizabeth I, ending decades of political intrigue.	16th Century	Mary, Queen of Scots
02-09	1964	tdih-02-09-01	Beatles Appear on Ed Sullivan Show	YEAH YEAH YEAH: 73 Million Americans Watch the Beatles on Ed Sullivan	On February 9, 1964, the Beatles made their first live American television appearance on The Ed Sullivan Show, watched by an estimated 73 million viewers.	1960s America	The Beatles on The Ed Sullivan Show
02-10	1840	tdih-02-10-01	Queen Victoria Marries Prince Albert	ROYAL WEDDING: Queen Victoria Marries Prince Albert at Chapel Royal	On February 10, 1840, Queen Victoria married Prince Albert of Saxe-Coburg and Gotha, beginning a partnership that would define the Victorian era.	Victorian Era	Wedding of Queen Victoria and Prince Albert
02-11	1990	tdih-02-11-01	Nelson Mandela Released from Prison	FREE AT LAST: Mandela Walks Out of Prison After 27 Years	On February 11, 1990, Nelson Mandela was released from Victor Verster Prison after 27 years, setting South Africa on the path to ending apartheid.	Peace & Cooperation	Nelson Mandela
02-12	1809	tdih-02-12-01	Abraham Lincoln Born	A LOG CABIN BIRTH: Abraham Lincoln Born in Kentucky	On February 12, 1809, Abraham Lincoln was born in a one-room log cabin in Hardin County, Kentucky; he would become America's greatest president.	19th Century	Abraham Lincoln
02-13	1689	tdih-02-13-01	William and Mary Accept English Throne	GLORIOUS REVOLUTION COMPLETE: Parliament Offers Crown to William and Mary	On February 13, 1689, William III and Mary II were proclaimed joint sovereigns of England, completing the Glorious Revolution and establishing parliamentary supremacy.	17th Century	Glorious Revolution
02-14	1929	tdih-02-14-01	St. Valentine's Day Massacre	GANGLAND SLAUGHTER: Seven Men Gunned Down in Chicago Garage on Valentine's Day	On February 14, 1929, seven members of the Bugs Moran gang were lined up against a garage wall and shot dead, likely on orders of Al Capone.	Roaring Twenties	Saint Valentine's Day Massacre
02-15	1898	tdih-02-15-01	USS Maine Explodes in Havana Harbor	REMEMBER THE MAINE: Battleship Explodes in Havana Harbor, Killing 260 Sailors	On February 15, 1898, the USS Maine exploded in Havana Harbor, killing 260 crew members and propelling the United States into war with Spain.	Turn of the Century	USS Maine (ACR-1)
02-16	1923	tdih-02-16-01	Howard Carter Opens Tutankhamun's Burial Chamber	WONDERFUL THINGS: Carter Opens the Sealed Burial Chamber of Tutankhamun	On February 16, 1923, Howard Carter opened the sealed doorway to King Tutankhamun's burial chamber, revealing treasures untouched for 3,000 years.	Roaring Twenties	Tomb of Tutankhamun
02-17	1600	tdih-02-17-01	Giordano Bruno Burned at the Stake	HERETIC BURNED: Philosopher Giordano Bruno Executed for Claiming Infinite Worlds Exist	On February 17, 1600, philosopher Giordano Bruno was burned at the stake in Rome for heresy, including his belief in an infinite universe with many worlds.	Renaissance	Giordano Bruno
02-18	1930	tdih-02-18-01	Discovery of Pluto	NINTH PLANET FOUND: Clyde Tombaugh Discovers Pluto at Lowell Observatory	On February 18, 1930, Clyde Tombaugh discovered Pluto at the Lowell Observatory in Arizona, adding what was then the ninth planet to the solar system.	Great Depression	Pluto
02-19	1942	tdih-02-19-01	Japanese Internment Order Signed	IMPRISONED WITHOUT CHARGE: FDR Signs Executive Order 9066 Interning Japanese Americans	On February 19, 1942, President Roosevelt signed Executive Order 9066, authorizing the forced relocation of 120,000 Japanese Americans to internment camps.	World War II	Executive Order 9066
02-20	1962	tdih-02-20-01	John Glenn Orbits Earth	AMERICAN IN ORBIT: John Glenn Becomes First American to Circle the Earth	On February 20, 1962, astronaut John Glenn orbited Earth three times aboard Friendship 7, making him the first American to orbit the planet.	Space Age	Mercury-Atlas 6
02-21	1848	tdih-02-21-01	Communist Manifesto Published	WORKERS UNITE: Marx and Engels Publish the Communist Manifesto	On February 21, 1848, Karl Marx and Friedrich Engels published The Communist Manifesto, one of the most influential political documents in history.	Victorian Era	The Communist Manifesto
02-22	1732	tdih-02-22-01	George Washington Born	FATHER OF HIS COUNTRY BORN: George Washington Born in Virginia	On February 22, 1732, George Washington was born in Westmoreland County, Virginia; he would lead the Continental Army and become the first president.	18th Century	George Washington
02-23	1455	tdih-02-23-01	Gutenberg Bible Published	PRINTED WORD: First Substantial Book Printed with Movable Type	Around February 23, 1455, Johannes Gutenberg completed printing the Gutenberg Bible, the first major book produced using movable type printing.	Renaissance	Gutenberg Bible
02-24	1920	tdih-02-24-01	Nazi Party Founded	DARK BEGINNING: German Workers Party Refounded as the National Socialist German Workers Party	On February 24, 1920, the German Workers Party was renamed the National Socialist German Workers Party (Nazi Party) and adopted its 25-point program.	Early 20th Century	Nazi Party
02-25	1836	tdih-02-25-01	Samuel Colt Patents the Revolver	SIX-SHOOTER: Colt Receives Patent for Revolving Firearm That Changed the West	On February 25, 1836, Samuel Colt received a US patent for his revolving firearm, the weapon that would become synonymous with the American frontier.	19th Century	Colt Paterson
02-26	1935	tdih-02-26-01	Radar Demonstrated in Britain	INVISIBLE SHIELD: Watson-Watt Demonstrates Radar Detection of Aircraft	On February 26, 1935, Robert Watson-Watt demonstrated radar's ability to detect aircraft, a technology that would prove decisive in the Battle of Britain.	Great Depression	Radar
02-27	1933	tdih-02-27-01	Reichstag Fire	PARLIAMENT ABLAZE: German Reichstag Burns as Nazis Seize Opportunity to Crush Opposition	On February 27, 1933, the German Reichstag was set on fire, giving Hitler the pretext to suspend civil liberties and consolidate dictatorial power.	Great Depression	Reichstag fire
02-28	1953	tdih-02-28-01	Watson and Crick Discover DNA Structure	SECRET OF LIFE: Scientists Determine the Double Helix Structure of DNA	On February 28, 1953, James Watson and Francis Crick determined the double-helix structure of DNA, unlocking the molecular basis of heredity.	Science & Discovery	Molecular structure of nucleic acids
02-29	1940	tdih-02-29-01	Hattie McDaniel Wins Oscar	BREAKING BARRIERS: Hattie McDaniel Becomes First African American to Win an Academy Award	On February 29, 1940, Hattie McDaniel won the Academy Award for Best Supporting Actress for Gone with the Wind, the first African American to win an Oscar.	Great Depression	Hattie McDaniel
03-01	1872	tdih-03-01-01	Yellowstone Established as First National Park	NATURE PRESERVED: President Grant Signs Bill Creating Yellowstone National Park	On March 1, 1872, President Ulysses S. Grant signed legislation establishing Yellowstone as the world's first national park.	Victorian Era	Yellowstone National Park
03-02	1836	tdih-03-02-01	Texas Declares Independence	LONE STAR RISING: Texas Declares Independence from Mexico at Washington-on-the-Brazos	On March 2, 1836, 59 delegates at Washington-on-the-Brazos signed the Texas Declaration of Independence, creating the Republic of Texas.	19th Century	Texas Declaration of Independence
03-03	1918	tdih-03-03-01	Treaty of Brest-Litovsk Signed	RUSSIA EXITS THE WAR: Bolsheviks Sign Humiliating Peace Treaty with Central Powers	On March 3, 1918, Soviet Russia signed the Treaty of Brest-Litovsk with Germany, ending Russian participation in World War I.	World War I Era	Treaty of Brest-Litovsk
03-04	1789	tdih-03-04-01	US Constitution Takes Effect	WE THE PEOPLE: United States Constitution Officially Takes Effect	On March 4, 1789, the United States Constitution officially took effect, replacing the Articles of Confederation and creating the federal government.	18th Century	United States Constitution
03-05	1946	tdih-03-05-01	Churchill Delivers Iron Curtain Speech	IRON CURTAIN: Churchill Warns That Soviet Union Has Divided Europe	On March 5, 1946, Winston Churchill delivered his Iron Curtain speech in Fulton, Missouri, warning that Soviet expansionism threatened Western freedom.	Cold War	Iron Curtain
03-06	1836	tdih-03-06-01	Fall of the Alamo	REMEMBER THE ALAMO: Mexican Army Overwhelms 200 Defenders After 13-Day Siege	On March 6, 1836, Mexican forces under General Santa Anna stormed the Alamo mission in San Antonio, killing all of the approximately 200 Texan defenders.	19th Century	Battle of the Alamo
03-07	1876	tdih-03-07-01	Alexander Graham Bell Patents the Telephone	CAN YOU HEAR ME: Bell Receives Patent for Device That Transmits Speech	On March 7, 1876, Alexander Graham Bell was granted a patent for the telephone, beating rival Elisha Gray by mere hours in a race that changed the world.	Industrial Age	Telephone
03-08	1917	tdih-03-08-01	February Revolution Begins in Russia	TSAR FALLS: Bread Riots in Petrograd Escalate Into Revolution	On March 8, 1917, International Women's Day protests in Petrograd over bread shortages escalated into the February Revolution that would topple the Tsar.	World War I Era	February Revolution
03-09	1862	tdih-03-09-01	Battle of the Ironclads	NAVAL WARFARE TRANSFORMED: Monitor and Merrimack Fight First Battle Between Ironclad Warships	On March 9, 1862, the USS Monitor and CSS Virginia fought the first battle between ironclad warships, rendering wooden naval vessels obsolete.	Civil War	Battle of Hampton Roads
03-10	1876	tdih-03-10-01	First Telephone Call Made	MR. WATSON COME HERE: Alexander Graham Bell Makes the First Telephone Call	On March 10, 1876, Alexander Graham Bell made the first successful telephone call, saying to his assistant, Mr. Watson, come here, I want to see you.	Industrial Age	Telephone
03-11	2011	tdih-03-11-01	Tohoku Earthquake and Tsunami	TRIPLE DISASTER: Magnitude 9.0 Earthquake Triggers Tsunami and Nuclear Meltdown in Japan	On March 11, 2011, a magnitude 9.0 earthquake off Japan triggered a massive tsunami and the Fukushima nuclear disaster, killing over 18,000 people.	21st Century	2011 Tōhoku earthquake and tsunami
03-12	1930	tdih-03-12-01	Gandhi Begins Salt March	MARCH TO THE SEA: Gandhi Leads 240-Mile Walk to Defy British Salt Tax	On March 12, 1930, Mahatma Gandhi began the Salt March, walking 240 miles to the Arabian Sea to make salt in defiance of the British monopoly.	Great Depression	Salt March
03-13	1781	tdih-03-13-01	William Herschel Discovers Uranus	NEW PLANET: Herschel Discovers Seventh Planet in the Solar System	On March 13, 1781, astronomer William Herschel discovered Uranus, the first planet found using a telescope and the first discovered in modern history.	18th Century	Uranus
03-14	1879	tdih-03-14-01	Albert Einstein Born	GENIUS ARRIVES: Albert Einstein Born in Ulm, Germany	On March 14, 1879, Albert Einstein was born in Ulm, Germany; he would revolutionize physics with his theories of relativity and quantum mechanics.	Victorian Era	Albert Einstein
03-15	-44	tdih-03-15-01	Assassination of Julius Caesar	BEWARE THE IDES: Julius Caesar Stabbed 23 Times by Senators on the Senate Floor	On March 15, 44 BC, Roman dictator Julius Caesar was assassinated by a group of senators including Brutus and Cassius, plunging Rome into civil war.	Ancient World	Assassination of Julius Caesar
03-16	1802	tdih-03-16-01	US Military Academy Established at West Point	ARMY ACADEMY: Congress Creates Military Academy at West Point, New York	On March 16, 1802, Congress established the United States Military Academy at West Point, New York, to train officers for the nation's army.	18th Century	United States Military Academy
03-17	461	tdih-03-17-01	Death of Saint Patrick	PATRON SAINT: Saint Patrick Dies, Leaving Ireland Forever Changed by Christianity	Saint Patrick, the patron saint of Ireland, died on March 17, 461 AD, having spent decades converting the Irish to Christianity and becoming a global cultural icon.	Medieval	Saint Patrick
03-18	1871	tdih-03-18-01	Paris Commune Proclaimed	WORKERS SEIZE POWER: Revolutionary Government Takes Control of Paris	On March 18, 1871, the Paris Commune was proclaimed after citizens and National Guard members seized control of the city from the French government.	Victorian Era	Paris Commune
03-19	1920	tdih-03-19-01	US Senate Rejects Treaty of Versailles	LEAGUE REJECTED: Senate Fails to Ratify Treaty of Versailles and League of Nations	On March 19, 1920, the US Senate rejected the Treaty of Versailles for the second time, keeping America out of the League of Nations.	Early 20th Century	United States and the League of Nations
03-20	1602	tdih-03-20-01	Dutch East India Company Founded	CORPORATE EMPIRE: Dutch Establish World's First Publicly Traded Company	On March 20, 1602, the Dutch East India Company was established, becoming the world's first publicly traded company and pioneering modern capitalism.	17th Century	Dutch East India Company
03-21	1804	tdih-03-21-01	Napoleonic Code Adopted	LAW FOR ALL: Napoleon Introduces Legal Code That Will Reshape Western Law	On March 21, 1804, Napoleon Bonaparte enacted the Napoleonic Code, a unified legal system that would influence the laws of dozens of countries worldwide.	18th Century	Napoleonic Code
03-22	1622	tdih-03-22-01	Powhatan Attack on Virginia Settlers	MASSACRE IN VIRGINIA: Powhatan Warriors Attack English Settlements, Killing 347 Colonists	On March 22, 1622, Powhatan warriors launched coordinated attacks on English settlements along the James River, killing roughly a quarter of the colonists.	17th Century	Indian massacre of 1622
03-23	1775	tdih-03-23-01	Patrick Henry's Give Me Liberty Speech	LIBERTY OR DEATH: Patrick Henry Delivers Fiery Speech Demanding Revolution	On March 23, 1775, Patrick Henry delivered his famous speech declaring Give me liberty, or give me death!, galvanizing the American independence movement.	18th Century	Give me liberty, or give me death!
03-24	1882	tdih-03-24-01	Robert Koch Announces Discovery of TB Bacteria	TUBERCULOSIS UNMASKED: Koch Identifies the Bacterium That Causes the White Plague	On March 24, 1882, Robert Koch announced his discovery of the bacterium that causes tuberculosis, the disease that killed one in seven Europeans.	Victorian Era	Robert Koch
03-25	1807	tdih-03-25-01	British Parliament Abolishes Slave Trade	SLAVE TRADE ENDS: Parliament Passes Act Abolishing the Atlantic Slave Trade	On March 25, 1807, the British Parliament passed the Slave Trade Act, making it illegal to trade enslaved people throughout the British Empire.	19th Century	Slave Trade Act 1807
03-26	1953	tdih-03-26-01	Jonas Salk Announces Polio Vaccine	POLIO CONQUERED: Dr. Salk Announces Successful Vaccine Against Polio	On March 26, 1953, Dr. Jonas Salk announced that he had successfully tested a vaccine against poliomyelitis, the crippling disease that terrorized parents.	Post-World War II	Polio vaccine
03-27	1977	tdih-03-27-01	Tenerife Airport Disaster	DEADLIEST CRASH: Two Boeing 747s Collide on Runway, Killing 583 People	On March 27, 1977, two Boeing 747 aircraft collided on the runway at Tenerife airport, killing 583 people in the deadliest accident in aviation history.	1970s America	Tenerife airport disaster
03-28	1854	tdih-03-28-01	Britain and France Declare War on Russia	CRIMEAN WAR BEGINS: Britain and France Enter War Against Russia	On March 28, 1854, Britain and France declared war on Russia, beginning the Crimean War that would expose the horrors of modern industrialized conflict.	Victorian Era	Crimean War
03-29	1974	tdih-03-29-01	Terracotta Army Discovered	BURIED ARMY: Chinese Farmers Discover Thousands of Life-Size Clay Soldiers	On March 29, 1974, Chinese farmers digging a well near Xi'an discovered the Terracotta Army, an army of 8,000 life-size clay soldiers guarding Emperor Qin's tomb.	1970s America	Terracotta Army
03-30	1867	tdih-03-30-01	United States Purchases Alaska	SEWARD'S FOLLY: US Buys Alaska from Russia for $7.2 Million	On March 30, 1867, the United States agreed to purchase Alaska from Russia for $7.2 million, a deal mocked as Seward's Folly but later proved extraordinarily valuable.	Victorian Era	Alaska Purchase
03-31	1889	tdih-03-31-01	Eiffel Tower Completed	IRON LADY RISES: Eiffel Tower Completed in Paris After Two Years of Construction	On March 31, 1889, the Eiffel Tower was completed in Paris, becoming the tallest man-made structure in the world at 1,024 feet.	Victorian Era	Eiffel Tower
04-01	1976	tdih-04-01-01	Apple Computer Founded	GARAGE REVOLUTION: Steve Jobs and Steve Wozniak Found Apple Computer	On April 1, 1976, Steve Jobs and Steve Wozniak founded Apple Computer Company in Jobs's garage, launching a company that would revolutionize personal computing.	Science & Discovery	Apple Inc.
04-02	1513	tdih-04-02-01	Ponce de Leon Reaches Florida	NEW LAND: Spanish Explorer Ponce de Leon Becomes First European to Reach Florida	On April 2, 1513, Spanish explorer Juan Ponce de Leon became the first recorded European to reach what is now Florida, claiming it for Spain.	Renaissance	Juan Ponce de León
04-03	1860	tdih-04-03-01	Pony Express Begins	MAIL AT A GALLOP: First Pony Express Rider Departs St. Joseph, Missouri	On April 3, 1860, the first Pony Express rider departed St. Joseph, Missouri, beginning a mail delivery service that could cross the continent in 10 days.	19th Century	Pony Express
04-04	1968	tdih-04-04-01	Martin Luther King Jr. Assassinated	KING KILLED: Martin Luther King Jr. Assassinated on Memphis Motel Balcony	On April 4, 1968, Martin Luther King Jr. was assassinated at the Lorraine Motel in Memphis, Tennessee, triggering riots in over 100 American cities.	Civil Rights Era	Assassination of Martin Luther King Jr.
04-05	1722	tdih-04-05-01	Easter Island Discovered by Europeans	STONE GIANTS: Dutch Explorer Roggeveen Discovers Easter Island and Its Mysterious Statues	On April 5, 1722, Dutch explorer Jacob Roggeveen became the first European to reach Easter Island, encountering the mysterious moai statues.	18th Century	Easter Island
04-06	1917	tdih-04-06-01	United States Enters World War I	OVER THERE: Congress Declares War on Germany, America Enters the Great War	On April 6, 1917, Congress declared war on Germany, bringing the United States into World War I and tipping the balance of the conflict.	World War I Era	United States in World War I
04-07	1948	tdih-04-07-01	World Health Organization Founded	HEALTH FOR ALL: United Nations Establishes the World Health Organization	On April 7, 1948, the World Health Organization was established by the United Nations, dedicated to promoting health and combating disease worldwide.	Post-World War II	World Health Organization
04-08	1820	tdih-04-08-01	Venus de Milo Discovered	ARMLESS BEAUTY: Greek Farmer Discovers Ancient Statue on Island of Milos	On April 8, 1820, a Greek farmer on the island of Milos discovered the Venus de Milo, which would become one of the most famous sculptures in the world.	19th Century	Venus de Milo
04-09	1865	tdih-04-09-01	Lee Surrenders at Appomattox	WAR'S END: General Robert E. Lee Surrenders to Ulysses S. Grant at Appomattox	On April 9, 1865, Confederate General Robert E. Lee surrendered to Union General Ulysses S. Grant at Appomattox Court House, ending the Civil War.	Civil War	Battle of Appomattox Court House
04-10	1912	tdih-04-10-01	Titanic Sets Sail	UNSINKABLE: RMS Titanic Departs Southampton on Her Maiden Voyage	On April 10, 1912, the RMS Titanic departed Southampton on her maiden voyage to New York City; five days later she would strike an iceberg and sink.	Early 20th Century	Titanic
04-11	1945	tdih-04-11-01	Liberation of Buchenwald	HORROR REVEALED: US Troops Liberate Buchenwald Concentration Camp	On April 11, 1945, American troops liberated Buchenwald concentration camp, where over 56,000 prisoners had been murdered.	World War II	Buchenwald concentration camp
